spacing_D,wd_deg,ws_m_per_s,TI_per,VS,yaw_deg,power_demand_per,SAWS,SATI
4,-8.0,6,0.1,0.1,"[30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.94752028 5.33114153
 4.72774846 4.24669094 5.17004592 5.51981501 4.88873622 4.45136816]","[0.11329222 0.11540112 0.12311195 0.11291161 0.17184186 0.15192766
 0.17438114 0.20333209 0.16285598 0.14801123 0.16545007 0.18528008]"
4,-8.0,6,0.1,0.1,"[30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.94752028 5.33114153
 4.72774846 4.24669094 5.05161375 5.26926938 4.8220138  4.59631519]","[0.11329222 0.11540112 0.12311195 0.11291161 0.19466356 0.16666176
 0.2060097  0.24067581 0.17056531 0.15707433 0.17317214 0.18977427]"
4,-8.0,6,0.1,0.1,"[30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.94752028 5.33114153
 4.72774846 4.24669094 5.05161375 5.26926938 4.8220138  4.59631519]","[0.11329222 0.11540112 0.12311195 0.11291161 0.19466356 0.16666176
 0.2060097  0.24067581 0.17056531 0.15707433 0.17317214 0.18977427]"
4,0.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.07067251 5.40391245
 4.69072568 4.24714632 5.16635433 5.27960601 4.70773012 4.51020531]","[0.12113741 0.11166301 0.10876774 0.11063799 0.22638474 0.17252273
 0.190148   0.23383586 0.20303067 0.16965621 0.17429613 0.19997439]"
4,0.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.07067251 5.40391245
 4.69072568 4.24714632 5.16635433 5.27960601 4.70773012 4.51020531]","[0.12113741 0.11166301 0.10876774 0.11063799 0.22638474 0.17252273
 0.190148   0.23383586 0.20303067 0.16965621 0.17429613 0.19997439]"
4,0.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.07067251 5.40391245
 4.69072568 4.24714632 4.78585664 4.8634744  4.36966206 4.22840295]","[0.12113741 0.11166301 0.10876774 0.11063799 0.18376738 0.1541084
 0.16781368 0.19814243 0.19438515 0.1742365  0.18077477 0.19805466]"
4,0.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.07067251 5.40391245
 4.69072568 4.24714632 4.78585664 4.8634744  4.36966206 4.22840295]","[0.12113741 0.11166301 0.10876774 0.11063799 0.18376738 0.1541084
 0.16781368 0.19814243 0.19438515 0.1742365  0.18077477 0.19805466]"
4,0.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.07067251 5.40391245
 4.69072568 4.24714632 4.67899612 4.53488799 4.40316995 4.53324025]","[0.12113741 0.11166301 0.10876774 0.11063799 0.16506286 0.15079201
 0.17160826 0.19000517 0.18271165 0.18586543 0.18575221 0.1803085 ]"
4,0.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.07067251 5.40391245
 4.69072568 4.24714632 4.67899612 4.53488799 4.40316995 4.53324025]","[0.12113741 0.11166301 0.10876774 0.11063799 0.16506286 0.15079201
 0.17160826 0.19000517 0.18271165 0.18586543 0.18575221 0.1803085 ]"
4,0.0,6,0.1,0.1,"[0.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 4.34878073 4.23116712
 4.10159769 4.22254941 4.70572869 4.73598624 4.32196478 4.23123965]","[0.10054274 0.10101483 0.10133917 0.10037304 0.22393763 0.20432455
 0.19441583 0.20139763 0.19733526 0.17946055 0.18327653 0.19833296]"
